product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,product_description,Brand,status
Bv174,Real  Guva Juice 200 ml Tetra,,20,,,,Beverages,Juices,Juices & Nector,Real  Guva Juice 200 ml Tetra,,,bv174.jpg,,Real,1
Bv175,Real Active Juice Pomegranate & Berries 1 Ltr Tetra,,110,,,,Beverages,Juices,Juices & Nector,Real Active Juice Pomegranate & Berries 1 Ltr Tetra,,,bv175.jpg,,Real,1
Bv176,Real Litchi Juice 1 L,,99,,,,Beverages,Juices,Juices & Nector,Real Litchi Juice 1 L,,,bv176.jpg,,Real,1
Bv177,Real Mango Juice 1L,,99,,,,Beverages,Juices,Juices & Nector,Real Mango Juice 1L,,,bv177.jpg,,Real,1
Bv178,Real Mixed Fruit Juice 1L,,99,,,,Beverages,Juices,Juices & Nector,Real Mixed Fruit Juice 1L,,,bv178.jpg,,Real,1
Bv179,Real Mixed Fruit Juice Pack Of 30 x 200 ml,,600,,,,Beverages,Juices,Juices & Nector,Real Mixed Fruit Juice Pack Of 30 x 200 ml,,,bv179.jpg,,Real,1
Bv180,Real Orange Juice 1 L,,99,,,,Beverages,Juices,Juices & Nector,Real Orange Juice 1 L,,,bv180.jpg,,Real,1
Bv181,Real Orange Juice Pack Of 30 X 200 ml,,600,,,,Beverages,Juices,Juices & Nector,Real Orange Juice Pack Of 30 X 200 ml,,,bv181.jpg,,Real,1
Bv182,Real Pineapple Juice 1 L,,99,,,,Beverages,Juices,Juices & Nector,Real Pineapple Juice 1 L,,,bv182.jpg,,Real,1
Bv183,Real Pomegranate Juice 1L,,109,,,,Beverages,Juices,Juices & Nector,Real Pomegranate Juice 1L,,,bv183.jpg,,Real,1
Bv184,Real Fruit Power Litchi Juice 200 ml Tetra,,20,,,,Beverages,Juices,Juices & Nector,Real Fruit Power Litchi Juice 200 ml Tetra,,,bv184.jpg,,Real,1
Bv185,Real Tomato Juice 1 L,,99,,,,Beverages,Juices,Juices & Nector,Real Tomato Juice 1 L,,,bv185.jpg,,Real,1
Bv186,Real Active Orange Carrot 1 Ltr Tetra,,110,,,,Beverages,Juices,Juices & Nector,Real Active Orange Carrot 1 Ltr Tetra,,,bv186.jpg,,Real,1
